Date,AAPL,MSFT,JPM,BAC,JNJ,PFE,XOM,CVX,PG,KO
2015-01-02,24.192602,39.681740,46.274315,14.050793,76.110886,18.082529,57.145546,68.898361,65.555748,29.390261
2015-01-05,23.511057,39.316837,44.837727,13.642612,75.579315,17.984417,55.581947,66.144356,65.244064,29.390261
2015-01-06,23.513271,38.739773,43.675133,13.234436,75.207954,18.134476,55.286461,66.113777,64.946869,29.613441
2015-01-07,23.842978,39.231968,43.741779,13.297235,76.868202,18.382650,55.846638,66.058678,65.287537,29.983089
2015-01-08,24.759089,40.386097,44.719261,13.571972,77.472610,18.757809,56.776196,67.570328,66.034126,30.345760
2015-01-09,24.785637,40.046646,43.941715,13.328631,76.416740,18.844383,56.696159,66.223946,65.418037,30.010981
2015-01-12,24.174904,39.545959,43.564056,13.093146,76.154625,18.913645,55.606564,64.797989,65.178810,29.738987
2015-01-13,24.389549,39.342289,43.571453,12.912605,76.285660,18.723177,55.403431,63.769817,65.454277,29.732016
2015-01-14,24.296604,39.002834,42.068241,12.590770,75.732239,18.746267,55.243374,63.586205,65.229561,29.683197
2015-01-15,23.637182,38.595509,40.720520,11.931404,74.632660,18.700096,54.763214,62.833492,65.135353,29.557648
2015-01-16,23.453524,39.240459,41.416580,12.072696,75.761360,18.930960,56.092880,64.332855,66.142883,29.662273
2015-01-20,24.057625,39.367741,41.253670,11.978499,73.758858,19.104111,56.074387,65.159027,66.099388,30.101648
2015-01-21,24.241285,38.968910,41.386971,12.096241,74.203003,18.838614,56.554592,66.193321,66.233704,30.241138
2015-01-22,24.871933,39.995731,42.645824,12.630018,75.557472,18.936733,57.170181,66.658432,66.883438,30.534063
2015-01-23,25.000280,40.038166,41.971958,12.347429,74.421509,18.728952,55.951294,65.391640,65.759216,30.206270
2015-01-26,25.026836,39.893898,42.038601,12.441628,74.465179,18.930960,56.486862,66.633957,65.394218,29.990074
2015-01-27,24.150564,36.202389,41.616524,12.268934,74.341370,18.815531,55.988247,66.254509,63.138489,29.564621
2015-01-28,25.515856,34.954887,40.542774,11.931404,73.897202,18.440371,54.141468,63.469952,62.160271,29.236828
2015-01-29,26.310261,35.650772,41.224052,12.111944,74.552582,18.371113,53.913673,63.035419,62.539875,29.362371
2015-01-30,25.925226,34.284492,40.268799,11.892156,72.921402,18.036350,53.815186,62.747795,61.532444,28.713737
2015-02-02,26.250515,35.031265,41.075951,12.135492,73.423889,18.267221,55.144859,64.908112,62.138378,29.006664
2015-02-03,26.254936,35.302841,42.001595,12.473026,74.610840,18.480772,56.788498,67.031746,62.744267,29.034571
2015-02-04,26.456305,35.506504,41.749809,12.394529,73.809814,18.672915,56.302193,66.309616,62.627472,29.069431
2015-02-05,26.645136,36.024170,42.038601,12.535824,74.610840,19.208593,56.856220,66.897110,63.291779,29.146158
2015-02-06,26.420761,35.990223,42.867977,12.944003,73.620483,19.313398,56.750782,67.080727,62.496048,28.909025
2015-02-09,26.596262,35.947784,42.816158,12.834109,72.659248,19.255175,56.788010,67.582550,62.087280,28.755579
2015-02-10,27.107212,36.151455,43.290077,12.889052,73.074326,19.884012,56.446888,67.429550,62.335464,29.571604
2015-02-11,27.742571,35.964756,43.223431,12.841957,73.096161,19.942230,56.192570,67.307152,62.517975,29.550673
2015-02-12,28.093576,36.567284,44.112030,13.085295,71.683472,20.303230,57.290371,68.512268,62.802689,29.411182
2015-02-13,28.231318,37.229206,44.186077,13.038195,72.542747,20.169310,57.910618,69.698860,62.707760,29.285658
2015-02-17,28.397932,37.246307,44.504509,13.053893,73.139870,20.134380,57.712151,69.464005,62.408474,29.160107
2015-02-18,28.595642,37.203571,43.963932,12.794861,72.790329,20.076145,56.446888,68.252701,62.970585,29.104321
2015-02-19,28.535666,37.177929,43.860260,12.724213,73.329208,20.035391,55.473133,66.961075,62.204052,29.369349
2015-02-20,28.768938,37.485615,44.282352,12.857655,73.519836,20.122736,55.770828,67.115555,61.955864,29.271702
2015-02-23,29.546473,37.733467,43.949127,12.716364,73.461189,20.023748,55.206402,66.658234,62.335464,29.188011
2015-02-24,29.362076,37.682186,45.037659,12.857655,73.842499,19.994638,55.460701,66.720055,62.415787,29.383287
2015-02-25,28.611189,37.596722,45.274632,12.944003,74.216484,20.180954,55.572365,67.103218,62.386570,29.327492
2015-02-26,28.973312,37.656551,45.600468,12.590770,75.382423,20.140202,54.983131,66.163834,62.174850,29.613441
2015-02-27,28.537888,37.477070,45.378296,12.410229,75.169777,19.982988,54.914917,65.928986,62.145638,30.199297
2015-03-02,28.677835,37.502705,45.741146,12.567219,75.690407,20.245001,54.604782,65.446938,62.350056,30.129547
2015-03-03,28.737816,36.989895,45.889252,12.590770,75.045113,20.122736,54.344315,64.989616,62.167576,29.955185
2015-03-04,28.555656,36.801884,46.007736,12.472656,74.539116,20.169310,54.071407,64.989616,61.576237,29.641354
2015-03-05,28.082472,36.844604,45.911461,12.598642,75.177086,20.070332,53.798496,64.723885,61.780674,29.571604
2015-03-06,28.124674,36.203613,45.089500,12.771872,73.409851,19.779202,53.110062,63.994617,60.342556,28.957844
